Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	0	0	0	1	0	1
Gene1	0	0	1	0	1	1
Gene2	1	0	1	0	0	1
Gene3	0	1	0	1	1	0
Gene4	1	1	1	1	1	0
Gene5	1	1	1	1	0	1
Gene6	0	1	1	1	1	1
Gene7	1	1	1	0	1	1
Gene8	1	0	1	1	0	0
Gene9	1	0	1	0	1	0
Gene10	0	1	0	1	1	0
Gene11	0	1	0	1	1	1
Gene12	0	0	0	1	0	1
Gene13	0	0	0	1	1	0
Gene14	1	0	1	1	1	0
Gene15	0	1	1	0	0	0
Gene16	1	1	1	1	1	0
Gene17	1	1	0	0	1	1
Gene18	1	0	1	0	1	0
Gene19	1	1	1	1	1	0
Gene20	1	1	1	0	1	0
Gene21	0	0	1	1	0	0
Gene22	1	0	1	1	1	1
Gene23	1	0	0	1	1	1
Gene24	0	0	1	1	1	0
Gene25	0	1	1	1	0	1
Gene26	0	0	0	1	0	1
Gene27	0	0	1	1	1	1
Gene28	1	1	1	1	1	1
Gene29	1	0	1	0	0	1
Gene30	1	1	0	1	0	0
Gene31	1	0	0	0	0	0
Gene32	1	1	1	1	1	0
Gene33	0	1	0	1	0	1
Gene34	0	1	1	0	1	1
Gene35	0	0	0	0	0	1
Gene36	1	0	1	1	0	0
Gene37	0	1	0	0	0	1
Gene38	1	1	0	0	0	0
Gene39	1	0	1	1	0	1
Gene40	1	0	0	1	0	1
Gene41	0	1	0	0	0	0
Gene42	0	0	0	0	0	0
Gene43	0	0	0	1	0	0
Gene44	1	1	0	1	1	1
Gene45	1	0	0	1	0	1
Gene46	1	1	1	0	0	1
Gene47	1	0	1	1	0	0
Gene48	1	0	1	0	0	0
Gene49	0	1	1	0	0	0
Gene50	0	0	0	0	1	1
Gene51	1	1	1	0	1	1
Gene52	0	0	1	1	1	0
Gene53	0	0	0	0	1	0
Gene54	1	1	1	1	0	1
Gene55	0	0	0	0	0	0
Gene56	0	0	0	1	0	1
Gene57	1	0	0	0	0	0
Gene58	0	0	1	0	0	1
Gene59	1	0	0	0	0	0
Gene60	0	0	1	0	0	1
Gene61	1	1	0	1	0	0
Gene62	1	0	0	1	1	1
Gene63	1	0	0	0	1	1
Gene64	1	0	1	1	0	0
Gene65	0	0	1	0	0	0
Gene66	0	1	0	1	1	1
Gene67	0	0	1	1	0	0
Gene68	0	1	0	1	1	1
Gene69	1	0	1	0	0	0
Gene70	0	1	1	1	1	1
Gene71	0	0	0	1	0	0
Gene72	0	0	1	1	1	0
Gene73	0	0	1	0	1	1
Gene74	1	0	1	0	0	1
Gene75	1	1	0	1	1	0
Gene76	1	0	0	1	1	1
Gene77	0	0	1	1	0	0
Gene78	1	0	0	0	1	1
Gene79	0	1	0	1	1	0
Gene80	0	0	1	1	0	1
Gene81	0	1	1	1	1	1
Gene82	0	0	0	1	1	0
Gene83	0	0	0	0	0	0
Gene84	0	0	0	0	0	0
Gene85	1	1	0	0	0	1
Gene86	1	0	1	1	0	0
Gene87	0	0	0	1	1	1
Gene88	1	0	0	0	0	0
Gene89	1	0	0	1	0	0
Gene90	1	1	0	1	0	0
Gene91	0	1	1	0	1	0
Gene92	1	1	0	1	1	0
Gene93	1	0	0	0	1	1
Gene94	0	1	1	1	0	1
Gene95	0	0	1	0	0	1
Gene96	1	0	1	0	0	1
Gene97	0	0	0	0	1	1
Gene98	1	0	0	0	0	1
Gene99	1	1	0	0	1	1
