Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	1	0	0	0	0	0
Gene1	1	1	0	1	1	1
Gene2	0	0	1	0	1	0
Gene3	1	0	1	1	1	1
Gene4	1	1	1	0	0	0
Gene5	1	1	1	0	0	0
Gene6	1	0	1	1	1	0
Gene7	1	1	1	1	1	1
Gene8	1	1	1	0	1	1
Gene9	1	1	0	1	1	1
Gene10	0	0	1	0	1	1
Gene11	0	1	0	1	1	1
Gene12	1	1	0	1	0	0
Gene13	1	0	1	1	1	1
Gene14	1	1	0	0	0	0
Gene15	1	1	0	1	1	1
Gene16	0	1	1	1	1	0
Gene17	1	1	0	0	1	0
Gene18	1	1	1	1	0	0
Gene19	1	1	1	1	1	1
Gene20	0	1	1	1	1	1
Gene21	1	0	0	1	1	0
Gene22	1	0	0	1	1	1
Gene23	1	1	0	1	1	1
Gene24	1	1	1	0	1	0
Gene25	1	0	0	0	1	1
Gene26	1	1	1	1	1	0
Gene27	0	0	0	1	0	1
Gene28	1	1	0	0	1	0
Gene29	0	1	0	1	1	1
Gene30	1	1	0	0	1	1
Gene31	1	1	1	1	1	1
Gene32	0	1	1	1	1	1
Gene33	1	1	1	1	1	0
Gene34	0	1	1	0	1	1
Gene35	1	1	1	0	0	1
Gene36	1	1	1	1	1	1
Gene37	1	1	1	0	1	0
Gene38	0	1	1	0	1	0
Gene39	1	0	1	1	0	1
Gene40	1	0	1	1	1	1
Gene41	1	1	1	1	1	0
Gene42	1	0	1	0	0	0
Gene43	0	0	1	1	1	1
Gene44	0	1	1	0	1	0
Gene45	1	0	1	1	0	1
Gene46	1	1	0	1	1	0
Gene47	1	1	1	0	0	1
Gene48	1	1	1	1	0	0
Gene49	1	1	1	1	1	0
Gene50	0	1	1	0	1	0
Gene51	1	1	1	1	1	1
Gene52	1	0	1	1	1	1
Gene53	0	1	1	0	0	1
Gene54	1	1	1	1	0	1
Gene55	1	0	0	0	1	0
Gene56	1	0	0	1	1	1
Gene57	1	1	1	1	1	0
Gene58	1	0	0	0	0	1
Gene59	1	1	1	1	1	1
Gene60	0	1	1	1	1	1
Gene61	1	1	0	0	1	0
Gene62	1	1	0	1	1	0
Gene63	0	0	1	1	1	1
Gene64	0	1	1	0	1	0
Gene65	0	1	1	0	1	1
Gene66	1	1	1	1	1	1
Gene67	1	1	1	1	0	0
Gene68	0	0	0	0	1	1
Gene69	1	1	1	1	1	1
Gene70	0	1	0	1	1	1
Gene71	1	0	1	0	0	1
Gene72	0	0	1	1	0	1
Gene73	1	1	1	1	0	1
Gene74	1	0	1	1	0	1
Gene75	0	0	1	1	1	1
Gene76	0	0	0	1	1	1
Gene77	1	1	1	0	1	0
Gene78	1	0	1	0	1	1
Gene79	1	1	1	1	1	1
Gene80	0	1	1	1	1	0
Gene81	0	0	0	0	0	1
Gene82	0	1	0	0	0	1
Gene83	1	1	0	0	0	0
Gene84	0	1	0	0	1	0
Gene85	1	1	1	0	0	1
Gene86	0	0	1	1	1	0
Gene87	1	0	0	0	1	0
Gene88	1	1	1	1	0	0
Gene89	1	1	0	1	1	0
Gene90	0	1	0	1	1	1
Gene91	1	1	1	1	0	1
Gene92	1	1	1	1	1	1
Gene93	0	1	0	1	1	0
Gene94	1	1	0	1	1	1
Gene95	1	0	1	1	0	0
Gene96	1	0	1	1	1	0
Gene97	1	1	1	1	1	0
Gene98	1	1	0	0	0	0
Gene99	1	1	0	0	0	1
