Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	1	1	1	1	1	1
Gene1	0	0	0	0	0	0
Gene2	0	1	1	0	1	0
Gene3	1	1	1	1	1	1
Gene4	1	1	1	0	0	1
Gene5	0	0	1	0	0	1
Gene6	0	1	0	1	1	0
Gene7	1	0	1	0	0	0
Gene8	0	0	1	0	0	0
Gene9	1	1	0	0	1	0
Gene10	0	0	0	1	1	0
Gene11	0	1	0	0	0	1
Gene12	0	1	0	0	0	1
Gene13	0	0	0	0	0	1
Gene14	1	1	1	0	0	1
Gene15	0	1	1	1	0	0
Gene16	1	0	1	1	0	1
Gene17	1	1	1	0	1	0
Gene18	1	1	1	1	1	0
Gene19	1	1	1	1	0	1
Gene20	1	1	1	1	1	0
Gene21	0	1	1	1	1	1
Gene22	0	1	1	1	0	1
Gene23	1	0	1	0	0	0
Gene24	1	1	1	1	1	1
Gene25	0	1	1	1	1	0
Gene26	0	0	1	0	0	1
Gene27	0	1	1	0	1	0
Gene28	1	1	0	1	1	1
Gene29	1	0	0	1	1	0
Gene30	0	1	1	0	0	0
Gene31	1	1	1	1	1	0
Gene32	0	1	1	1	1	0
Gene33	0	1	0	0	0	0
Gene34	0	1	1	1	1	0
Gene35	0	0	1	0	0	0
Gene36	0	0	0	1	0	0
Gene37	1	0	1	0	0	1
Gene38	1	1	1	0	0	0
Gene39	0	0	0	1	0	0
Gene40	1	1	1	1	0	1
Gene41	1	1	0	0	0	1
Gene42	0	1	1	1	0	1
Gene43	1	0	1	1	0	0
Gene44	0	0	1	0	1	1
Gene45	1	0	1	1	1	0
Gene46	0	0	0	0	0	0
Gene47	1	1	0	0	1	0
Gene48	0	0	1	0	0	1
Gene49	0	0	0	0	1	0
Gene50	1	1	1	1	0	1
Gene51	1	1	0	1	1	0
Gene52	0	0	1	0	0	0
Gene53	0	0	1	0	0	1
Gene54	0	1	1	0	1	0
Gene55	0	1	1	1	1	1
Gene56	1	1	1	1	0	1
Gene57	0	0	0	0	0	1
Gene58	0	1	1	0	0	1
Gene59	0	1	1	0	1	1
Gene60	1	0	1	0	0	1
Gene61	1	1	0	1	1	1
Gene62	1	1	0	1	0	1
Gene63	0	0	0	1	1	1
Gene64	1	1	0	1	1	0
Gene65	0	1	0	0	0	0
Gene66	0	0	1	1	1	1
Gene67	0	0	0	0	0	0
Gene68	1	1	1	1	1	0
Gene69	1	1	1	1	0	0
Gene70	1	0	1	1	0	1
Gene71	0	1	1	1	1	0
Gene72	0	1	1	1	1	0
Gene73	0	0	0	0	1	1
Gene74	0	0	1	0	0	0
Gene75	1	0	0	0	0	0
Gene76	0	1	1	1	1	1
Gene77	0	0	0	0	0	1
Gene78	0	0	1	1	0	1
Gene79	0	0	0	0	0	0
Gene80	0	1	0	0	0	1
Gene81	1	0	0	0	0	0
Gene82	0	1	1	0	1	0
Gene83	0	1	0	1	1	0
Gene84	0	0	1	1	0	0
Gene85	1	1	1	1	1	0
Gene86	1	1	1	1	1	0
Gene87	1	1	0	0	0	1
Gene88	0	1	1	1	0	0
Gene89	0	0	1	0	0	0
Gene90	1	0	0	0	0	0
Gene91	0	0	1	1	1	1
Gene92	1	0	1	1	0	0
Gene93	0	1	1	1	1	0
Gene94	0	0	1	1	1	0
Gene95	0	1	1	1	1	1
Gene96	1	0	1	1	1	0
Gene97	1	1	0	1	1	0
Gene98	1	1	1	0	1	0
Gene99	0	0	0	0	0	0
