Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	0	0	1	0	0	1
Gene1	0	0	0	0	0	0
Gene2	0	1	0	0	1	0
Gene3	0	1	0	0	0	1
Gene4	1	0	0	0	0	0
Gene5	1	0	1	0	0	0
Gene6	0	0	0	0	0	1
Gene7	0	1	0	0	0	0
Gene8	0	0	0	0	0	1
Gene9	0	0	0	0	1	0
Gene10	1	0	0	0	0	1
Gene11	1	0	0	0	1	0
Gene12	1	1	1	0	0	0
Gene13	0	0	0	0	1	0
Gene14	0	0	0	0	0	0
Gene15	0	0	0	0	0	1
Gene16	1	1	1	0	0	1
Gene17	0	0	0	0	1	0
Gene18	1	0	1	0	0	0
Gene19	1	0	1	0	0	1
Gene20	1	1	0	0	1	0
Gene21	0	0	1	0	1	1
Gene22	0	0	1	1	0	1
Gene23	0	1	1	0	0	0
Gene24	1	0	0	1	0	0
Gene25	0	0	1	0	1	0
Gene26	1	1	0	1	0	0
Gene27	0	0	1	0	0	0
Gene28	0	0	1	0	0	0
Gene29	0	0	0	0	0	1
Gene30	0	0	1	0	0	1
Gene31	1	1	1	0	0	0
Gene32	1	0	0	0	1	0
Gene33	0	0	1	0	0	0
Gene34	0	0	0	0	0	0
Gene35	1	0	0	0	0	1
Gene36	0	0	0	0	1	0
Gene37	0	0	1	0	0	0
Gene38	1	0	0	0	1	1
Gene39	1	0	1	0	0	0
Gene40	0	0	0	0	0	0
Gene41	0	0	0	0	0	1
Gene42	0	1	0	0	0	0
Gene43	0	0	0	0	0	0
Gene44	0	0	0	0	0	0
Gene45	1	0	0	0	0	1
Gene46	0	0	0	0	0	0
Gene47	0	0	0	0	0	0
Gene48	1	1	0	1	0	1
Gene49	0	0	0	0	0	0
Gene50	1	1	0	0	0	1
Gene51	1	1	1	1	0	1
Gene52	0	0	0	0	0	0
Gene53	0	0	0	0	0	0
Gene54	0	0	1	1	0	0
Gene55	0	0	0	1	0	0
Gene56	0	1	0	0	0	0
Gene57	0	0	0	1	0	1
Gene58	1	0	0	0	1	0
Gene59	1	0	0	1	1	1
Gene60	0	0	0	1	0	0
Gene61	0	0	0	0	0	0
Gene62	0	1	1	0	1	0
Gene63	0	0	0	0	0	1
Gene64	1	0	1	0	0	0
Gene65	0	0	0	0	0	0
Gene66	0	1	0	0	1	1
Gene67	0	1	1	0	0	0
Gene68	0	1	0	0	0	0
Gene69	0	1	0	1	1	0
Gene70	0	0	0	0	0	0
Gene71	0	0	0	1	0	0
Gene72	0	0	0	0	0	0
Gene73	0	0	0	0	0	0
Gene74	1	0	0	1	1	1
Gene75	0	0	0	0	0	0
Gene76	0	0	1	0	0	1
Gene77	0	1	0	0	0	0
Gene78	1	1	0	0	0	0
Gene79	0	0	0	0	0	0
Gene80	0	0	1	0	0	0
Gene81	0	0	0	0	0	1
Gene82	0	0	0	0	1	0
Gene83	0	0	1	0	0	0
Gene84	1	0	0	0	0	0
Gene85	0	1	1	0	0	0
Gene86	0	1	0	0	0	1
Gene87	1	0	0	0	1	0
Gene88	0	0	0	1	0	0
Gene89	0	0	0	0	0	1
Gene90	0	1	1	1	0	0
Gene91	0	1	1	0	0	0
Gene92	1	0	0	0	0	1
Gene93	0	0	0	0	0	0
Gene94	0	0	0	0	0	1
Gene95	0	0	0	0	0	0
Gene96	0	0	0	0	1	0
Gene97	0	1	0	0	0	0
Gene98	0	1	0	1	1	0
Gene99	0	0	0	0	0	0
