Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	0	1	1	1	1	1
Gene1	0	0	1	1	1	1
Gene2	1	0	1	1	1	1
Gene3	1	1	0	1	0	1
Gene4	1	1	0	1	1	0
Gene5	1	1	1	1	0	1
Gene6	1	0	1	1	0	0
Gene7	0	1	1	1	1	1
Gene8	1	1	1	1	1	1
Gene9	1	1	1	1	1	0
Gene10	1	1	1	1	1	1
Gene11	1	0	1	1	0	1
Gene12	1	1	1	1	1	1
Gene13	1	0	0	1	1	1
Gene14	0	1	1	1	0	1
Gene15	1	0	1	1	1	1
Gene16	0	1	1	1	1	1
Gene17	1	1	0	1	0	1
Gene18	1	1	0	1	0	1
Gene19	1	0	1	0	0	1
Gene20	1	1	1	1	1	1
Gene21	1	0	1	1	1	0
Gene22	1	1	1	0	0	1
Gene23	0	1	1	1	0	0
Gene24	1	1	0	1	0	1
Gene25	1	1	1	1	0	0
Gene26	1	0	0	1	1	0
Gene27	0	1	1	1	1	1
Gene28	1	1	0	1	1	0
Gene29	0	1	1	0	1	1
Gene30	1	1	0	0	0	0
Gene31	1	1	1	0	1	1
Gene32	1	0	1	1	1	1
Gene33	0	1	0	1	1	1
Gene34	1	1	1	1	1	1
Gene35	1	1	1	1	1	0
Gene36	1	1	1	1	1	0
Gene37	0	1	1	1	1	0
Gene38	1	1	1	1	1	0
Gene39	0	1	1	0	1	0
Gene40	0	1	1	1	1	1
Gene41	1	1	1	1	1	0
Gene42	0	0	1	1	1	1
Gene43	1	1	0	0	1	0
Gene44	1	1	1	1	0	1
Gene45	0	1	0	1	1	1
Gene46	1	1	1	1	0	0
Gene47	1	1	1	1	1	1
Gene48	1	1	0	0	1	1
Gene49	1	1	1	0	0	1
Gene50	1	1	0	1	1	1
Gene51	1	1	0	1	1	1
Gene52	1	1	1	0	1	1
Gene53	1	1	0	0	0	1
Gene54	1	1	1	1	1	1
Gene55	1	1	1	1	1	1
Gene56	0	1	0	1	1	0
Gene57	1	1	1	1	1	1
Gene58	1	1	1	0	1	1
Gene59	1	1	0	0	1	1
Gene60	1	0	0	1	1	1
Gene61	0	0	0	1	0	0
Gene62	1	1	1	1	1	1
Gene63	1	1	1	1	0	0
Gene64	0	0	1	0	1	1
Gene65	0	1	0	1	1	1
Gene66	1	1	1	1	1	1
Gene67	1	0	1	1	0	1
Gene68	1	0	1	0	1	1
Gene69	1	0	1	1	1	1
Gene70	1	1	1	0	1	1
Gene71	1	1	1	0	1	1
Gene72	1	1	1	0	0	1
Gene73	0	1	1	1	1	0
Gene74	1	1	0	0	0	0
Gene75	1	1	1	1	1	0
Gene76	1	0	1	1	1	1
Gene77	1	1	0	1	0	1
Gene78	1	1	1	1	1	1
Gene79	1	1	1	0	0	0
Gene80	0	0	1	1	1	1
Gene81	1	0	0	1	1	0
Gene82	1	1	1	0	1	1
Gene83	1	1	0	0	1	1
Gene84	1	1	0	1	1	1
Gene85	1	1	1	1	0	0
Gene86	1	0	0	1	1	0
Gene87	0	0	1	1	0	1
Gene88	0	1	1	0	1	0
Gene89	0	1	1	1	1	0
Gene90	1	1	0	1	1	1
Gene91	1	1	1	0	0	1
Gene92	1	0	0	1	1	1
Gene93	1	1	0	1	0	1
Gene94	1	1	1	1	1	0
Gene95	1	1	0	0	0	1
Gene96	1	1	1	1	1	1
Gene97	0	1	0	1	1	1
Gene98	1	1	1	1	1	1
Gene99	0	1	1	1	1	1
